id,name,set,number,total
"mep-046","Chikorita","MEP Black Star Promos","046","0"
"mep-047","Cyndaquil","MEP Black Star Promos","047","0"
"mep-048","Totodile","MEP Black Star Promos","048","0"
"mep-049","Snivy","MEP Black Star Promos","049","0"
"mep-050","Tepig","MEP Black Star Promos","050","0"
"mep-051","Oshawott","MEP Black Star Promos","051","0"
"mep-052","Grookey","MEP Black Star Promos","052","0"
"mep-053","Scorbunny","MEP Black Star Promos","053","0"
"mep-054","Sobble","MEP Black Star Promos","054","0"
"mep-055","Treecko","MEP Black Star Promos","055","0"
"mep-056","Torchic","MEP Black Star Promos","056","0"
"mep-057","Mudkip","MEP Black Star Promos","057","0"
"mep-058","Chespin","MEP Black Star Promos","058","0"
"mep-059","Fennekin","MEP Black Star Promos","059","0"
"mep-060","Froakie","MEP Black Star Promos","060","0"
"mep-061","Sprigatito","MEP Black Star Promos","061","0"
"mep-062","Fuecoco","MEP Black Star Promos","062","0"
"mep-063","Quaxly","MEP Black Star Promos","063","0"
"mep-072","Mega Clefable ex","MEP Black Star Promos","072","0"
"mep-073","Mega Gengar ex","MEP Black Star Promos","073","0"
"mep-081","Mega Greninja ex","MEP Black Star Promos","081","0"
"mep-082","Miraidon","MEP Black Star Promos","082","0"
"mep-083","Slowbro","MEP Black Star Promos","083","0"
"mep-084","Dhelmise","MEP Black Star Promos","084","0"
"mep-085","Bastiodon","MEP Black Star Promos","085","0"
"mep-086","Slowpoke","MEP Black Star Promos","086","0"
"mep-087","Binacle","MEP Black Star Promos","087","0"
"mep-088","Zarude","MEP Black Star Promos","088","0"
"mep-Museum","Pikachu at the Museum","MEP Black Star Promos","Museum","0"
"2024sv-10","Hydreigon","McDonald's Collection 2024","10","15"
"2024sv-11","Roaring Moon","McDonald's Collection 2024","11","15"
"2024sv-12","Dragonite","McDonald's Collection 2024","12","15"
"2024sv-13","Eevee","McDonald's Collection 2024","13","15"
"2024sv-14","Rayquaza","McDonald's Collection 2024","14","15"
"2024sv-15","Drampa","McDonald's Collection 2024","15","15"
"2024sv-2","Pikachu","McDonald's Collection 2024","2","15"
"2024sv-3","Miraidon","McDonald's Collection 2024","3","15"
"2024sv-4","Jigglypuff","McDonald's Collection 2024","4","15"
"2024sv-5","Hatenna","McDonald's Collection 2024","5","15"
"2024sv-6","Dragapult","McDonald's Collection 2024","6","15"
"2024sv-7","Quagsire","McDonald's Collection 2024","7","15"
"2024sv-8","Koraidon","McDonald's Collection 2024","8","15"
"2024sv-9","Umbreon","McDonald's Collection 2024","9","15"
"mfb-1","Bulbasaur","My First Battle","1","48"
"mfb-10","Charmeleon","My First Battle","10","48"
"mfb-11","Vulpix","My First Battle","11","48"
"mfb-12","Ninetales","My First Battle","12","48"
"mfb-13","Growlithe","My First Battle","13","48"
"mfb-14","Arcanine","My First Battle","14","48"
"mfb-15","Magmar","My First Battle","15","48"
"mfb-16","Fire Energy","My First Battle","16","48"
"mfb-17","Pikachu","My First Battle","17","48"
"mfb-18","Raichu","My First Battle","18","48"
"mfb-19","Magnemite","My First Battle","19","48"
"mfb-2","Ivysaur","My First Battle","2","48"
"mfb-20","Magneton","My First Battle","20","48"
"mfb-21","Voltorb","My First Battle","21","48"
"mfb-22","Electrode","My First Battle","22","48"
"mfb-23","Electabuzz","My First Battle","23","48"
"mfb-24","Lightning Energy","My First Battle","24","48"
"mfb-25","Squirtle","My First Battle","25","48"
"mfb-26","Wartortle","My First Battle","26","48"
"mfb-27","Poliwag","My First Battle","27","48"
"mfb-28","Poliwhirl","My First Battle","28","48"
"mfb-29","Magikarp","My First Battle","29","48"
"mfb-3","Oddish","My First Battle","3","48"
"mfb-30","Gyarados","My First Battle","30","48"
"mfb-31","Lapras","My First Battle","31","48"
"mfb-32","Water Energy","My First Battle","32","48"
"mfb-33","Potion","My First Battle","33","48"
"mfb-34","Switch","My First Battle","34","48"
"mfb-4","Gloom","My First Battle","4","48"
"mfb-5","Exeggcute","My First Battle","5","48"
"mfb-6","Exeggutor","My First Battle","6","48"
"mfb-7","Scyther","My First Battle","7","48"
